H	T	d	Uc	L
4.78	5.56	49.3	1.62	67.6026
5.51	5.63	44.55	1.32	66.222
8.69	5.65	43.03	2.41	76.5067
4.04	5.72	28.15	-0.84	44.22
2.77	5.75	41.11	-0.07	52.309
6.8	5.76	30.96	0.07	55.2156
6.19	5.78	34.46	0.73	62.0317
3	5.81	42.6	-0.62	47.3404
4.47	5.81	43.01	0.72	63.4698
8.17	5.86	33.44	0.11	59.7186
4.63	5.87	47.16	-0.24	54.0379
3.19	5.88	49.08	0.47	60.8234
3.38	5.91	26.74	-0.59	49.7512
3.25	5.92	16.66	-1.9	29.9778
4.93	5.96	46.31	2.15	80.9944
5.93	5.98	48.87	1.66	76.975
3.34	6.03	31.32	-1.49	39.8374
6.96	6.04	33.1	-0.86	50.2693
4.58	6.04	26.12	-0.74	50.2889
2.48	6.05	42.95	-1.43	40.2127
1.24	6.1	17.76	-1.85	32.362
4.57	6.18	39.19	-1.7	38.0582
8.11	6.2	48.01	1.88	83.6764
1.21	6.27	40.34	0.31	65.274
1.62	6.28	42.57	-0.77	51.9576
2.76	6.43	47.87	-0.97	53.0904
2.67	6.44	44.26	-0.58	58.3808
2.12	6.44	42.93	-0.05	64.8636
1.1	6.46	47.76	0.78	74.9957
5.85	6.52	43.36	1.33	85.6804
5.66	6.52	40.61	-0.83	59.8797
5.96	6.58	48.1	-1.34	51.1866
4.76	6.59	27.92	-1.73	45.0481
5.99	6.61	34.42	-0.91	58.5751
5.1	6.64	27.27	-1.67	47.0746
2.55	6.65	28.54	-1.96	41.483
4.63	6.7	23.76	-2.34	35.8802
7.07	6.71	43.61	0.76	84.5275
9.79	6.71	44.24	-0.43	69.8034
4.06	6.8	34.94	-1.76	48.7624
2.18	6.83	18.36	-2.34	36.2347
7.53	6.89	38.58	-0.94	63.1652
2.39	6.94	39.89	-2.43	36.8927
2.28	7.02	34.31	-2.43	37.8686
3.02	7.1	48.83	-1.26	61.4468
2.04	7.15	33.38	-1.98	48.6903
6.05	7.2	35.14	-1.1	68.5648
2.69	7.32	42.59	-2.16	49.4791
2.08	7.38	36.23	-1.55	60.909
4.39	7.39	38.56	-1.28	68.4367
6.33	7.56	35.35	-1.61	69.1394
1.3	7.59	35.05	-1.7	61.5918
5.39	7.61	42.33	-0.92	79.6806
2.06	7.65	47.17	-2.46	48.0374
1.86	7.71	44.9	-1.38	70.3859
3.35	7.72	38.28	-1.3	73.2438
4.86	7.95	44.12	-1.08	83.5823
8.01	8.03	41.59	-2.39	61.4742
4.31	8.28	46.38	-2.32	67.4228
1.16	2.03	42.45	1.93	13.4854
1.34	2.17	49.54	2.44	16.6228
1.24	2.35	27.79	0.63	11.7086
1.03	2.52	30.07	0.03	10.3067
1.11	2.8	27.41	-0.39	10.3205
1.36	2.94	49.73	2.08	24.6181
1.92	2.96	43	0.35	16.1898
2.92	2.99	27.03	1.8	24.1734
2.05	3.16	35.92	0.31	18.0039
2.23	3.2	41.95	1.5	25.6543
3.44	3.24	40.3	1.57	26.4495
2.92	3.25	46.21	0.95	22.9876
2.23	3.28	49.29	2.28	30.7833
2.78	3.34	43.01	1.49	26.9577
